Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.72079104039339E-08,8.0813026428499E-05,-0.162229110019625,0,0,0,0.15990908414068,0.00141507226909998,5.87435570997381E-11,3.23196300716034E-10,0.00141500594064647,-1.90459556143419E-06,1.26199142207597E-05,0,0,0,0,0,0,package://hook/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hook/meshes/base_link.STL,,钩1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-4.02455846426619E-16,7.28680788397123E-17,0.25,0,0,0,0.399570796326795,0.00832006589353713,7.03490782467767E-21,2.77270941327775E-18,0.00835992678031014,-3.27854264644385E-18,6.64989398614644E-05,0,0,0,0,0,0,package://hook/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hook/meshes/link1.STL,,钩2-1,Origin_j12,,j1,fixed,0,0.0125,-0.0125,1.5708,1.5708,0,base_link,0,0,0,,,,,,,,,,,,
link2,-2.42611489842849E-16,-4.0766001685455E-16,0.4,0,0,0,0.392699081698724,0.0209592908318108,1.36108587827704E-34,2.37260275840112E-18,0.0209592908318108,-1.1726708913308E-18,3.06796157577128E-05,0,0,0,0,0,0,package://hook/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hook/meshes/link2.STL,,钩3-1,Origin_j22,Axis_j22,j2,fixed,0,0,0.5,0,0,-1.5708,link1,0,0,0,,,,,,,,,,,,
link3,-0.0300000000000004,1.11665787727588E-10,-0.00749378664083595,0,0,0,0.0800000000000001,1.33333333333334E-05,-1.12937726300573E-21,-1.68290322930462E-29,7.73333333333334E-05,1.19209289661803E-13,6.93333333333334E-05,0,0,0,0,0,0,package://hook/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hook/meshes/link3.STL,,钩5-1,Origin_j32,Axis_j3,j3,fixed,0.02,0.08,0.455,1.5708,0,1.5708,link2,0,0,0,,,,,,,,,,,,
link31,0.516137995028202,0.0800000000000005,0.015,0,0,0,0.012,1.3E-06,-7.14331118851129E-23,-2.22257613929119E-38,1.3E-06,7.05860789378583E-23,8.00000000000002E-07,0,0,0,0,0,0,package://hook/meshes/link31.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hook/meshes/link31.STL,,钩6-2,Origin_j31,,j31,fixed,0.04,-0.51614,-0.057494,0,0,1.5708,link3,0,0,0,,,,,,,,,,,,
link33,0.516137995028202,0,-0.0450000000000005,0,0,0,0.028,1.23666666666667E-05,-3.5636370156883E-23,1.41172157875717E-22,1.23666666666667E-05,-3.79244884917325E-22,1.86666666666667E-06,0,0,0,0,0,0,package://hook/meshes/link33.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hook/meshes/link33.STL,,钩7-1,Origin_j33,,j33,fixed,0,0.01,-0.01,1.5708,0,0,link31,0,0,0,,,,,,,,,,,,
link32,-0.0800000000000005,0.516137995028202,-0.0149999999999999,0,0,0,0.012,1.3E-06,-4.71978051982727E-23,-4.33680868994202E-23,1.3E-06,4.33680868994201E-23,8.00000000000002E-07,0,0,0,0,0,0,package://hook/meshes/link32.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hook/meshes/link32.STL,,钩6-1,Origin_j322,,j32,fixed,0.09,-0.51614,-0.027494,0,0,0,link3,0,0,0,,,,,,,,,,,,
link4,4.44089209850063E-16,1.61681330754294E-16,0.0199999999999997,0,0,0,0.016,2.66666666666667E-06,-2.5903866725241E-22,-4.80600621510323E-22,2.66666666666667E-06,1.28166972116391E-22,1.06666666666667E-06,0,0,0,0,0,0,package://hook/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hook/meshes/link4.STL,,钩4-2,Origin_j42,,j4,fixed,0,0.05,0.73,1.5708,-1.5708,0,link2,0,0,0,,,,,,,,,,,,
link5,-2.22044604925031E-16,2.51367622874714E-16,0.0200000000000004,0,0,0,0.016,2.66666666666667E-06,-6.49822896591864E-23,-1.6423187318195E-22,2.66666666666667E-06,-5.568498497958E-23,1.06666666666667E-06,0,0,0,0,0,0,package://hook/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hook/meshes/link5.STL,,钩4-1,Origin_j52,,j5,fixed,0,0.05,0.79,1.5708,-1.5708,0,link2,0,0,0,,,,,,,,,,,,
